region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3612,653,1451,0,0,0,0,0,0,6,10,0,0,0,0,0,0,6,10,15,24,0,4,10,17,25,45,0,4,684,1510,180,0,864,1510
POA3614,245,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,245,709,34,0,279,709
POA3616,1698,4418,37,61,0,0,37,61,125,195,0,0,0,0,0,0,125,195,25,38,3,4,11,22,39,64,0,5,1899,4743,235,0,2134,4743
POA3617,112,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,275,3,0,115,275
POA3618,247,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,253,630,26,0,279,630
POA3620,2744,6909,90,131,3,10,93,141,207,299,3,3,0,0,0,0,210,302,19,31,3,8,6,11,28,50,0,0,3075,7402,327,0,3402,7402
POA3621,741,1931,28,38,0,0,28,38,9,13,15,24,0,0,0,0,24,37,7,16,0,0,4,8,11,24,0,0,804,2030,97,0,901,2030
POA3622,123,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,324,12,0,135,324
POA3623,366,859,0,0,0,0,0,0,11,13,0,0,0,0,0,0,11,13,0,0,0,0,0,10,0,10,0,0,377,882,50,0,427,882
POA3624,216,541,0,3,4,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,547,20,0,240,547
